date,XLK,QTEC,beta,spread
2021-10-18,157.23,165.11,0.9450606503814463,1.191036015519387
2021-10-19,158.78999,166.92,0.9440276455441428,1.2128954057716896
2021-10-20,158.35001,166.83,0.942553546693228,1.1038018051687573
2021-10-21,158.96001,168.95,0.938282647693735,0.4371566721434874
2021-10-22,158.41,168.05,0.9365061043375499,1.0301491660747217
2021-10-25,158.92999,168.8,0.9350104095637388,1.1002328656408906
2021-10-26,159.38,168.24001,0.9364962886083817,1.8238550395629431
2021-10-27,159.24001,166.66,0.9406220350185711,2.4759416438049584
2021-10-28,160.84,168.42999,0.942935033402589,2.02146175335227
2021-10-29,161.53,169.82001,0.942784743262486,1.4262854713172146
2021-11-01,161.28999,170.50999,0.9405310049503598,0.9200577512241921
2021-11-02,162.71001,171.8,0.9397148197381742,1.267003968981669
2021-11-03,163.66,172.96001,0.9389001461581371,1.2678213314871414
2021-11-04,166.22,177.09,0.9352247129467864,0.6010555842535723
2021-11-05,167.08,177.2,0.9349700717024181,1.4033032943315504
2021-11-08,167.98,178.91,0.9331422485199532,1.0315203172951612
2021-11-09,167.28999,179.49001,0.9291507881966666,0.5167057350724065
2021-11-10,164.53,174.8,0.9306972718517258,1.8441168803183245
2021-11-11,165.3,176.67,0.9292767449095377,1.1246774768320051
2021-11-12,167.31,179.24001,0.9275468403746309,1.0564950557827615
2021-11-15,167.14,177.88,0.9291807750249976,1.8573237385534185
2021-11-16,168.89999,180.39,0.9287483425286007,1.3630764912657298
2021-11-17,168.39,179.5,0.9292607441432721,1.5876964262826334
2021-11-18,170.07001,180.25,0.9319046918136461,2.0941893005902728
2021-11-19,171.31,180.25,0.9363691728186647,2.52945659943569
2021-11-22,169.39999,176.37,0.9429958093995768,3.0838190961966347
2021-11-23,169.00999,174.67,0.9497545702072056,3.116359221907402
2021-11-24,170.24001,175.63,0.9544811718869313,2.604481781498265
2021-11-26,165.99001,172.52,0.9541343435719033,1.382753046975239
2021-11-29,170.14,176.81,0.9540660710041787,1.451577985751129
2021-11-30,168.72,173.05,0.9592192933582695,2.7271012843514484
2021-12-01,166.41,169.91,0.9639184210550424,2.630621078537729
2021-12-02,167.94,171.48,0.9667675679651816,2.1586974453306595
2021-12-03,165.13,168.03,0.9696908826777846,2.1928409836518483
2021-12-06,166.7,169.23,0.9724299325112337,2.1356825211239254
2021-12-07,172.52,175.97,0.9722607974410776,1.431267474293577
2021-12-08,173.31,176.59,0.9726184335806726,1.5553108139890242
2021-12-09,171.44,172.97,0.9767785265794657,2.4866182575498215
2021-12-10,174.88,174.23,0.9845553094982785,3.3409284261149423
2021-12-13,172.28,171.77,0.9886205568471977,2.464646950356837
2021-12-14,169.45,169.28999,0.990099648088803,1.8360404760430242
2021-12-15,173.94,174.14,0.9902275010376334,1.5017829693065323
2021-12-16,169.00999,168.37,0.9921803412596424,1.9565859421140033
2021-12-17,167.88,168.67999,0.989874390651678,0.907997683618845
2021-12-20,165.57001,166.87,0.9872566361013851,0.8264951337618527
2021-12-21,169.75999,172.73,0.9817718304020696,0.1785417346505085
2021-12-22,171.98,174.02,0.9809448508262506,1.2759770592158475
2021-12-23,172.94,175.45,0.9793969961859189,1.1047970191805234
2021-12-27,176.64999,178.75,0.9796632137157869,1.5351905483030919
2021-12-28,175.73,176.81,0.9821633985676829,2.0736894992479904
2021-12-29,175.88,176.78,0.9840358629202308,1.922140152961589
2021-12-30,174.72,176.52,0.9829456571213807,1.2104326049338567
2021-12-31,173.87,175.16,0.9834841565069634,1.6029151462402922
2022-01-03,175.52,175.08,0.9879493748310201,2.5498234545850096
